Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response,Consumer disputed
1333985,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,FL,33460,Web,04/16/2015,04/16/2015,Stellar Recovery Inc.,Closed with explanation,Yes,
1334443,Money transfers,International money transfer,Money was not available when promised,,GA,31401,Web,04/16/2015,04/17/2015,MoneyGram,In progress,Yes,
1334400,Debt collection,Payday loan,Disclosure verification of debt,Right to dispute notice not received,TX,75069,Web,04/16/2015,04/17/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1332387,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,WA,98371,Referral,04/16/2015,04/20/2015,Quality Loan Service Corporation,Closed with explanation,Yes,
1334339,Consumer loan,Vehicle loan,Problems when you are unable to pay,,NY,11545,Web,04/16/2015,04/16/2015,Ally Financial Inc.,In progress,Yes,
1332473,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,MI,48184,Web,04/16/2015,04/16/2015,Flagstar Bank,In progress,Yes,
1334429,Debt collection,Credit card,Improper contact or sharing of info,Contacted me after I asked not to,MT,59041,Web,04/16/2015,04/17/2015,"LTD Financial Services, L.P.",Closed with non-monetary relief,Yes,
1334402,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,TX,75069,Web,04/16/2015,04/17/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1335731,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,TX,77471,Web,04/16/2015,04/17/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,Yes
1335770,Debt collection,,Communication tactics,Frequent or repeated calls,CT,06002,Web,04/16/2015,04/17/2015,"Praxis Financial Solutions, Incorporated",Closed with explanation,Yes,
1330535,Bank account or service,Checking account,"Account opening, closing, or management",,CA,92011,Web,04/15/2015,04/15/2015,Wells Fargo,Closed with explanation,Yes,Yes
